query_id	corpus_id	score
GQ_311	24-0	1
GQ_312	24-0	1
GQ_313	24-0	1
GQ_314	25-0	1
GQ_315	25-0	1
GQ_316	25-0	1
GQ_317	25-0	1
GQ_318	25-0	1
GQ_319	25-0	1
GQ_320	26-0	1
GQ_321	26-0	1
GQ_322	26-0	1
GQ_323	26-0	1
GQ_324	26-0	1
GQ_325	26-0	1
GQ_326	26-0	1
GQ_327	26-0	1
GQ_328	26-0	1
GQ_329	26-0	1
GQ_330	26-0	1
GQ_331	26-0	1
GQ_332	26-0	1
GQ_333	26-0	1
GQ_334	26-0	1
GQ_335	26-0	1
GQ_336	26-0	1
GQ_337	26-0	1
GQ_338	26-0	1
GQ_339	26-0	1
GQ_340	26-0	1
GQ_341	26-0	1
GQ_342	26-0	1
GQ_343	26-0	1
GQ_344	26-1	1
GQ_345	26-1	1
GQ_346	26-1	1
GQ_347	26-1	1
GQ_348	26-1	1
GQ_349	26-1	1
GQ_350	27-0	1
GQ_351	27-0	1
GQ_352	27-0	1
GQ_353	27-0	1
GQ_354	27-0	1
GQ_355	27-0	1
GQ_356	27-0	1
GQ_357	27-0	1
GQ_358	27-0	1
GQ_359	27-0	1
GQ_360	28-0	1
GQ_361	28-0	1
GQ_362	28-0	1
GQ_363	28-0	1
GQ_364	28-0	1
GQ_365	28-0	1
GQ_366	28-0	1
GQ_367	28-0	1
GQ_368	28-0	1
GQ_369	28-0	1
GQ_370	28-0	1
GQ_371	28-0	1
GQ_372	29-0	1
GQ_373	29-0	1
GQ_374	29-0	1
GQ_375	29-0	1
GQ_376	29-0	1
GQ_377	29-0	1
GQ_378	29-0	1
GQ_379	29-0	1
GQ_380	29-0	1
GQ_381	29-0	1
GQ_382	29-0	1
GQ_383	29-0	1
GQ_384	30-0	1
GQ_385	30-0	1
GQ_386	30-0	1
GQ_387	30-0	1
GQ_388	30-0	1
GQ_389	30-0	1
GQ_390	30-0	1
GQ_391	30-0	1
GQ_392	30-0	1
GQ_393	30-0	1
GQ_394	30-0	1
GQ_395	30-0	1
GQ_396	30-0	1
GQ_397	30-0	1
GQ_398	30-0	1
GQ_399	30-0	1
GQ_400	30-0	1
GQ_401	30-0	1
GQ_402	30-0	1
GQ_403	30-1	1
GQ_404	30-1	1
GQ_405	30-1	1
GQ_406	30-1	1
GQ_407	30-1	1
GQ_408	30-1	1
GQ_409	31-0	1
GQ_410	32-0	1
GQ_411	32-0	1
GQ_412	32-0	1
GQ_413	32-0	1
GQ_414	32-0	1
GQ_415	32-0	1
GQ_416	32-0	1
GQ_417	33-0	1
GQ_418	33-0	1
GQ_419	33-0	1
GQ_420	33-0	1
GQ_421	33-0	1
GQ_422	33-0	1
GQ_423	33-0	1
GQ_424	33-0	1
GQ_425	33-0	1
GQ_426	33-0	1
GQ_427	33-0	1
GQ_428	33-0	1
GQ_429	33-0	1
GQ_430	33-0	1
GQ_431	33-0	1
GQ_432	34-0	1
GQ_433	34-0	1
GQ_434	34-0	1
GQ_435	34-0	1
GQ_436	35-0	1
GQ_437	35-0	1
GQ_438	35-0	1
GQ_439	35-0	1
GQ_440	35-0	1
GQ_441	35-0	1
GQ_442	35-0	1
GQ_443	35-0	1
GQ_444	35-0	1
GQ_445	35-0	1
GQ_446	35-0	1
GQ_447	35-0	1
GQ_448	35-0	1
GQ_449	35-0	1
GQ_450	35-0	1
GQ_451	35-0	1
GQ_452	35-0	1
GQ_453	35-0	1
GQ_454	35-0	1
GQ_455	35-0	1
GQ_456	35-0	1
GQ_457	35-0	1
GQ_458	35-0	1
GQ_459	35-0	1
GQ_460	35-0	1
GQ_461	35-0	1
GQ_462	35-1	1
GQ_463	36-0	1
GQ_464	36-0	1
GQ_465	36-0	1
GQ_466	36-0	1
GQ_467	36-0	1
GQ_468	36-0	1
GQ_469	36-0	1
GQ_470	36-0	1
GQ_471	36-0	1
GQ_472	36-0	1
GQ_473	36-0	1
GQ_474	36-0	1
GQ_475	36-0	1
GQ_476	36-0	1
GQ_477	36-0	1
GQ_478	36-0	1
GQ_479	37-0	1
GQ_480	37-0	1
GQ_481	37-0	1
GQ_482	37-0	1
GQ_483	37-0	1
GQ_484	37-0	1
GQ_485	37-0	1
GQ_486	37-0	1
GQ_487	37-0	1
GQ_488	37-0	1
GQ_489	37-0	1
GQ_490	37-0	1
GQ_491	37-0	1
GQ_492	37-0	1
GQ_493	37-0	1
GQ_494	38-0	1
GQ_495	38-0	1
GQ_496	38-0	1
GQ_497	38-0	1
GQ_498	38-0	1
GQ_499	38-0	1
GQ_500	38-0	1
GQ_501	38-0	1
GQ_502	38-0	1
GQ_503	38-0	1
GQ_504	38-0	1
GQ_505	38-0	1
GQ_506	38-0	1
GQ_507	38-0	1
GQ_508	38-0	1
GQ_509	38-0	1
GQ_510	38-0	1
GQ_511	38-0	1
GQ_512	38-0	1
GQ_513	38-0	1
GQ_514	38-1	1
GQ_515	38-1	1
GQ_516	38-1	1
GQ_517	38-1	1
GQ_518	38-1	1
GQ_519	38-1	1
GQ_520	38-1	1
GQ_521	38-1	1
GQ_522	38-1	1
GQ_523	39-0	1
GQ_524	39-0	1
GQ_525	40-0	1
GQ_526	40-0	1
GQ_527	40-0	1
GQ_528	40-0	1
GQ_529	40-0	1
GQ_530	40-0	1
GQ_531	41-0	1
GQ_532	42-0	1
GQ_533	42-0	1
GQ_534	42-0	1
GQ_535	43-0	1
GQ_536	43-0	1
GQ_537	44-0	1
GQ_538	44-0	1
GQ_539	44-0	1
GQ_540	44-0	1
GQ_541	44-0	1
GQ_542	44-0	1
GQ_543	44-0	1
GQ_544	44-0	1
GQ_545	44-0	1
GQ_546	44-0	1
GQ_547	44-0	1
GQ_548	44-0	1
GQ_549	44-0	1
GQ_550	44-0	1
GQ_551	44-0	1
GQ_552	44-0	1
GQ_553	44-0	1
GQ_554	44-0	1
GQ_555	44-0	1
GQ_556	44-0	1
GQ_557	44-0	1
GQ_558	44-1	1
GQ_559	44-1	1
GQ_560	44-1	1
GQ_561	44-1	1
GQ_562	44-1	1
GQ_563	44-1	1
GQ_564	44-1	1
GQ_565	44-1	1
GQ_566	44-1	1
GQ_567	44-1	1
GQ_568	44-1	1
GQ_569	45-0	1
GQ_570	45-0	1
GQ_571	45-0	1
GQ_572	46-0	1
GQ_573	46-0	1
GQ_574	46-0	1
GQ_575	46-0	1
GQ_576	46-0	1
GQ_577	46-0	1
GQ_578	46-0	1
GQ_579	46-0	1
GQ_580	47-0	1
GQ_581	47-0	1
GQ_582	47-0	1
GQ_583	47-0	1
GQ_584	47-0	1
GQ_585	47-0	1
GQ_586	47-0	1
GQ_587	48-0	1
GQ_588	48-0	1
GQ_589	48-0	1
GQ_590	48-0	1
GQ_591	48-0	1
GQ_592	48-0	1
GQ_593	48-0	1
GQ_594	48-0	1
GQ_595	48-0	1
GQ_596	48-0	1
GQ_597	48-0	1
GQ_598	48-0	1
GQ_599	48-0	1
GQ_600	48-0	1
GQ_601	48-0	1
GQ_602	48-0	1
GQ_603	49-0	1
GQ_604	49-0	1
GQ_605	50-0	1
GQ_606	50-0	1
GQ_607	50-0	1
GQ_608	50-0	1
GQ_609	50-0	1
GQ_610	50-0	1
GQ_611	50-0	1
GQ_612	50-0	1
GQ_613	50-0	1
GQ_614	50-0	1
GQ_615	50-0	1
GQ_616	50-0	1
GQ_617	50-0	1
GQ_618	50-0	1
GQ_619	50-0	1
GQ_620	50-0	1
GQ_621	50-0	1
GQ_622	50-0	1
GQ_623	50-0	1
GQ_624	50-0	1
GQ_625	50-0	1
GQ_626	50-0	1
GQ_627	50-1	1
GQ_628	51-0	1
GQ_629	51-0	1
GQ_630	51-0	1
GQ_631	51-0	1
GQ_632	51-0	1
GQ_633	51-0	1
GQ_634	51-0	1
GQ_635	51-0	1
GQ_636	51-0	1
GQ_637	52-0	1
GQ_638	52-0	1
GQ_639	53-0	1
GQ_640	53-0	1
GQ_641	53-0	1
GQ_642	53-0	1
GQ_643	53-0	1
GQ_644	53-0	1
GQ_645	53-0	1
GQ_646	54-0	1
GQ_647	54-0	1
GQ_648	54-0	1
GQ_649	54-0	1
GQ_650	54-0	1
GQ_651	54-0	1
GQ_652	54-0	1
GQ_653	54-0	1
GQ_654	54-0	1
GQ_655	54-0	1
GQ_656	54-0	1
GQ_657	54-0	1
GQ_658	54-0	1
GQ_659	54-0	1
GQ_660	54-0	1
GQ_661	54-0	1
GQ_662	54-0	1
GQ_663	54-0	1
GQ_664	55-0	1
GQ_665	55-0	1
GQ_666	55-0	1
GQ_667	55-0	1
GQ_668	55-0	1
GQ_669	55-0	1
GQ_670	55-0	1
GQ_671	55-0	1
GQ_672	55-0	1
GQ_673	55-0	1
GQ_674	55-0	1
GQ_675	55-0	1
GQ_676	55-0	1
GQ_677	55-0	1
GQ_678	55-0	1
GQ_679	55-0	1
GQ_680	55-0	1
GQ_681	55-1	1
GQ_682	55-1	1
GQ_683	55-1	1
GQ_684	55-1	1
GQ_685	55-1	1
GQ_686	55-1	1
GQ_687	56-0	1
GQ_688	56-0	1
GQ_689	56-0	1
GQ_690	56-0	1
GQ_691	56-0	1
GQ_692	57-0	1
GQ_693	57-0	1
GQ_694	57-0	1
GQ_695	57-0	1
GQ_696	57-0	1
GQ_697	58-0	1
GQ_698	58-0	1
GQ_699	58-0	1
GQ_700	58-0	1
GQ_701	59-0	1
GQ_702	59-0	1
GQ_703	59-0	1
GQ_704	59-0	1
GQ_705	59-0	1
GQ_706	59-0	1
GQ_707	59-0	1
GQ_708	59-0	1
GQ_709	59-0	1
GQ_710	59-0	1
GQ_711	59-0	1
GQ_712	59-0	1
GQ_713	59-0	1
GQ_714	59-0	1
GQ_715	59-0	1
GQ_716	59-0	1
GQ_717	59-0	1
GQ_718	59-0	1
GQ_719	59-0	1
GQ_720	60-0	1
GQ_721	60-0	1
GQ_722	60-0	1
GQ_723	60-0	1
GQ_724	60-0	1
GQ_725	60-0	1
GQ_726	60-0	1
GQ_727	60-0	1
GQ_728	60-0	1
GQ_729	60-0	1
GQ_730	60-0	1
GQ_731	60-0	1
GQ_732	60-0	1
GQ_733	60-0	1
GQ_734	60-0	1
GQ_735	60-0	1
GQ_736	60-0	1
GQ_737	60-0	1
GQ_738	60-0	1
GQ_739	60-0	1
GQ_740	60-0	1
GQ_741	60-0	1
GQ_742	60-0	1
GQ_743	60-1	1
GQ_744	60-1	1
GQ_745	60-1	1
GQ_746	60-1	1
GQ_747	60-1	1
GQ_748	60-1	1
GQ_749	60-1	1
GQ_750	60-1	1
GQ_751	60-1	1
GQ_752	60-1	1
GQ_753	60-1	1
GQ_754	60-1	1
GQ_755	60-1	1
GQ_756	60-1	1
GQ_757	60-1	1
GQ_758	60-1	1
GQ_759	60-1	1
GQ_760	60-1	1
GQ_761	60-1	1
GQ_762	60-1	1
GQ_763	60-1	1
GQ_764	60-1	1
GQ_765	60-1	1
GQ_766	60-1	1
GQ_767	60-1	1
GQ_768	60-2	1
GQ_769	60-2	1
GQ_770	60-2	1
GQ_771	60-2	1
GQ_772	60-2	1
GQ_773	60-2	1
GQ_774	60-2	1
GQ_775	60-2	1
GQ_776	60-2	1
GQ_777	60-2	1
GQ_778	61-0	1
GQ_779	61-0	1
GQ_780	61-0	1
GQ_781	61-0	1
GQ_782	61-0	1
GQ_783	61-0	1
GQ_784	61-0	1
GQ_785	61-0	1
GQ_786	61-0	1
GQ_787	61-0	1
GQ_788	61-0	1
GQ_789	61-0	1
GQ_790	61-0	1
GQ_791	61-0	1
GQ_792	61-0	1
GQ_793	62-0	1
GQ_794	62-0	1
GQ_795	62-0	1
GQ_796	63-0	1
GQ_797	63-0	1
GQ_798	63-0	1
GQ_799	63-0	1
GQ_800	63-0	1
GQ_801	63-0	1
GQ_802	63-0	1
GQ_803	63-0	1
GQ_804	63-0	1
GQ_805	63-0	1
GQ_806	63-0	1
GQ_807	63-0	1
GQ_808	63-0	1
GQ_809	63-0	1
GQ_810	63-0	1
GQ_811	63-0	1
GQ_812	63-0	1
GQ_813	63-0	1
GQ_814	63-0	1
GQ_815	63-0	1
GQ_816	64-0	1
GQ_817	64-0	1
GQ_818	64-0	1
GQ_819	64-0	1
GQ_820	64-0	1
GQ_821	64-0	1
GQ_822	64-0	1
GQ_823	64-0	1
GQ_824	64-0	1
GQ_825	64-0	1
GQ_826	64-0	1
GQ_827	64-0	1
GQ_828	64-0	1
GQ_829	64-0	1
GQ_830	64-0	1
GQ_831	64-0	1
GQ_832	64-0	1
GQ_833	64-0	1
GQ_834	64-0	1
GQ_835	64-0	1
GQ_836	64-0	1
GQ_837	64-1	1
GQ_838	64-1	1
GQ_839	64-1	1
GQ_840	65-0	1
GQ_841	65-0	1
GQ_842	65-0	1
GQ_843	65-0	1
GQ_844	65-0	1
GQ_845	65-0	1
GQ_846	65-0	1
GQ_847	65-0	1
GQ_848	65-0	1
GQ_849	65-0	1
GQ_850	65-0	1
GQ_851	65-0	1
GQ_852	65-0	1
GQ_853	66-0	1
GQ_854	66-0	1
GQ_855	66-0	1
GQ_856	66-0	1
GQ_857	66-0	1
GQ_858	66-0	1
GQ_859	66-0	1
GQ_860	67-0	1
GQ_861	67-0	1
GQ_862	67-0	1
GQ_863	67-0	1
GQ_864	67-0	1
GQ_865	67-0	1
GQ_866	67-0	1
GQ_867	67-0	1
GQ_868	67-0	1
GQ_869	67-0	1
GQ_870	67-0	1
GQ_871	68-0	1
GQ_872	68-0	1
GQ_873	68-0	1
GQ_874	68-0	1
GQ_875	68-0	1
GQ_876	68-0	1
GQ_877	69-0	1
GQ_878	69-0	1
GQ_879	69-0	1
GQ_880	69-0	1
GQ_881	69-0	1
GQ_882	69-0	1
GQ_883	69-0	1
GQ_884	69-0	1
GQ_885	70-0	1
GQ_886	70-0	1
GQ_887	70-0	1
GQ_888	70-0	1
GQ_889	70-0	1
GQ_890	70-0	1
GQ_891	70-0	1
GQ_892	70-0	1
GQ_893	71-0	1
GQ_894	71-0	1
GQ_895	71-0	1
GQ_896	72-0	1
GQ_897	72-0	1
GQ_898	72-0	1
GQ_899	72-0	1
GQ_900	72-0	1
GQ_901	72-0	1
GQ_902	72-0	1
GQ_903	72-0	1
GQ_904	72-0	1
GQ_905	72-0	1
GQ_906	72-0	1
GQ_907	72-0	1
GQ_908	72-0	1
GQ_909	72-0	1
GQ_910	72-0	1
GQ_911	72-0	1
GQ_912	73-0	1
GQ_913	73-0	1
GQ_914	73-0	1
GQ_915	73-0	1
GQ_916	73-0	1
GQ_917	73-0	1
GQ_918	73-0	1
GQ_919	73-0	1
GQ_920	73-0	1
GQ_921	73-0	1
GQ_922	73-0	1
GQ_923	73-0	1
GQ_924	74-0	1
GQ_925	74-0	1
GQ_926	75-0	1
GQ_927	75-0	1
GQ_928	76-0	1
GQ_929	77-0	1
GQ_930	79-0	1
GQ_931	79-0	1
GQ_932	80-0	1
GQ_933	80-0	1
GQ_934	81-0	1
GQ_935	82-0	1
GQ_936	82-0	1
GQ_937	82-0	1
GQ_938	83-0	1
GQ_939	84-0	1
GQ_940	85-0	1
GQ_941	85-0	1
GQ_942	85-0	1
GQ_943	87-0	1
GQ_944	88-0	1
GQ_945	90-0	1
GQ_946	91-0	1
GQ_947	91-0	1
GQ_948	91-0	1
GQ_949	92-0	1
GQ_950	92-0	1
GQ_951	93-0	1
GQ_952	94-0	1
GQ_953	95-0	1
GQ_954	95-0	1
GQ_955	97-0	1
GQ_956	97-0	1
GQ_957	97-0	1
GQ_958	97-0	1
GQ_959	97-0	1
GQ_960	97-0	1
GQ_961	97-0	1
GQ_962	97-0	1
GQ_963	98-0	1
GQ_964	99-0	1
GQ_965	100-0	1
GQ_966	100-0	1
GQ_967	100-0	1
GQ_968	100-0	1
GQ_969	100-0	1
GQ_970	100-0	1
GQ_971	100-0	1
GQ_972	101-0	1
GQ_973	101-0	1
GQ_974	101-0	1
GQ_975	101-0	1
GQ_976	101-0	1
GQ_977	101-0	1
GQ_978	101-0	1
GQ_979	101-0	1
GQ_980	101-0	1
GQ_981	101-0	1
GQ_982	101-0	1
GQ_983	101-0	1
GQ_984	102-0	1
GQ_985	102-0	1
GQ_986	102-0	1
GQ_987	102-0	1
GQ_988	102-0	1
GQ_989	102-0	1
GQ_990	102-0	1
GQ_991	102-0	1
GQ_992	102-0	1
GQ_993	102-0	1
GQ_994	102-0	1
GQ_995	102-0	1
GQ_996	103-0	1
GQ_997	103-0	1
GQ_998	103-0	1
GQ_999	103-0	1
GQ_1000	103-0	1
GQ_1001	103-0	1
GQ_1002	104-0	1
GQ_1003	104-0	1
GQ_1004	104-0	1
GQ_1005	104-0	1
GQ_1006	104-0	1
GQ_1007	104-0	1
GQ_1008	104-0	1
GQ_1009	104-0	1
GQ_1010	105-0	1
GQ_1011	105-0	1
GQ_1012	105-0	1
GQ_1013	105-0	1
GQ_1014	105-0	1
GQ_1015	105-0	1
GQ_1016	105-0	1
GQ_1017	105-0	1
GQ_1018	105-0	1
GQ_1019	105-0	1
GQ_1020	105-0	1
GQ_1021	105-0	1
GQ_1022	105-0	1
GQ_1023	105-0	1
GQ_1024	105-0	1
GQ_1025	105-0	1
GQ_1026	105-0	1
GQ_1027	105-1	1
GQ_1028	105-1	1
GQ_1029	105-1	1
GQ_1030	105-1	1
GQ_1031	105-1	1
GQ_1032	105-1	1
GQ_1033	105-1	1
GQ_1034	106-0	1
GQ_1035	106-0	1
GQ_1036	106-0	1
GQ_1037	106-0	1
GQ_1038	106-0	1
GQ_1039	106-0	1
GQ_1040	106-0	1
GQ_1041	106-0	1
GQ_1042	106-0	1
GQ_1043	106-0	1
GQ_1044	106-0	1
GQ_1045	106-0	1
GQ_1046	106-0	1
GQ_1047	107-0	1
GQ_1048	108-0	1
GQ_1049	108-0	1
GQ_1050	108-0	1
GQ_1051	108-0	1
GQ_1052	108-0	1
GQ_1053	108-0	1
GQ_1054	108-0	1
GQ_1055	108-0	1
GQ_1056	108-0	1
GQ_1057	108-0	1
GQ_1058	108-0	1
GQ_1059	108-0	1
GQ_1060	109-0	1
GQ_1061	109-0	1
GQ_1062	109-0	1
GQ_1063	109-0	1
GQ_1064	110-0	1
GQ_1065	110-0	1
GQ_1066	110-0	1
GQ_1067	110-0	1
GQ_1068	110-0	1
GQ_1069	110-0	1
GQ_1070	110-0	1
GQ_1071	110-0	1
GQ_1072	110-0	1
GQ_1073	110-0	1
GQ_1074	110-0	1
GQ_1075	110-0	1
GQ_1076	110-0	1
GQ_1077	110-0	1
GQ_1078	110-0	1
GQ_1079	110-0	1
GQ_1080	110-0	1
GQ_1081	110-0	1
GQ_1082	110-0	1
GQ_1083	110-0	1
GQ_1084	111-0	1
GQ_1085	111-0	1
GQ_1086	111-0	1
GQ_1087	111-0	1
GQ_1088	111-0	1
GQ_1089	112-0	1
GQ_1090	112-0	1
GQ_1091	112-0	1
GQ_1092	112-0	1
GQ_1093	112-0	1
GQ_1094	112-0	1
GQ_1095	112-0	1
GQ_1096	112-0	1
GQ_1097	112-0	1
GQ_1098	112-0	1
GQ_1099	112-0	1
GQ_1100	112-0	1
GQ_1101	112-0	1
GQ_1102	112-0	1
GQ_1103	112-0	1
GQ_1104	112-0	1
GQ_1105	113-0	1
GQ_1106	113-0	1
GQ_1107	113-0	1
GQ_1108	113-0	1
GQ_1109	113-0	1
GQ_1110	113-0	1
GQ_1111	113-0	1
GQ_1112	113-0	1
GQ_1113	113-0	1
GQ_1114	113-0	1
GQ_1115	113-0	1
GQ_1116	113-0	1
GQ_1117	113-0	1
GQ_1118	113-0	1
GQ_1119	113-0	1
GQ_1120	113-0	1
GQ_1121	114-0	1
GQ_1122	114-0	1
GQ_1123	114-0	1
GQ_1124	114-0	1
GQ_1125	114-0	1
GQ_1126	114-0	1
GQ_1127	114-0	1
GQ_1128	114-0	1
GQ_1129	114-0	1
GQ_1130	114-0	1
GQ_1131	114-0	1
GQ_1132	114-0	1
GQ_1133	114-0	1
GQ_1134	114-0	1
GQ_1135	114-0	1
GQ_1136	114-0	1
GQ_1137	114-0	1
GQ_1138	114-0	1
GQ_1139	114-0	1
GQ_1140	114-0	1
GQ_1141	114-0	1
GQ_1142	114-0	1
GQ_1143	114-1	1
GQ_1144	114-1	1
GQ_1145	114-1	1
GQ_1146	114-1	1
GQ_1147	114-1	1
GQ_1148	114-1	1
GQ_1149	114-1	1
GQ_1150	114-1	1
GQ_1151	114-1	1
